SISN,REFA,HEADING,DATEEX_BEGINNING,DATEEX_END,FUN,ADM,VAR_1,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,SOURCE,SUC_1,SUC_2,SUC_3,SUC_4,DATECONT_1_BEGINNING,DATECONT_1_END,CONTAG_1,DATECONT_2_BEGINNING,DATECONT_2_END,CONTAG_2,DATECONT_3_BEGINNING,DATECONT_3_END,CONTAG_3,DATECONT_4_BEGINNING,DATECONT_4_END,CONTAG_4,DATECONT_5_BEGINNING,DATECONT_5_END,CONTAG_5,DATECONT_6_BEGINNING,DATECONT_6_END,CONTAG_6,DATECONT_7_BEGINNING,DATECONT_7_END,CONTAG_7,DATECONT_8_BEGINNING,DATECONT_8_END,CONTAG_8,DATECONT_9_BEGINNING,DATECONT_9_END,CONTAG_9,DATECONT_10_BEGINNING,DATECONT_10_END,CONTAG_10,DATECONT_11_BEGINNING,DATECONT_11_END,CONTAG_11,DATECONT_12_BEGINNING,DATECONT_12_END,CONTAG_12,DATECONT_13_BEGINNING,DATECONT_13_END,CONTAG_13,DATECONT_14_BEGINNING,DATECONT_14_END,CONTAG_14,AUTHTP_1,AUTHTP_2,NAME,AA,PAR_1,PAR_2,PAR_3,PAR_4,SEEALSO,PRED_1,PRED_2,PRED_3,PRED_4,PRED_5,RULES,STATUSA,WEBA
5624,,Multilingual Television (Toronto) Limited,,,,"Multilingual Television Limited was founded in Toronto in 1979 by Dan Iannuzzi with the backing of private investors Jerry Grafstein, Raymond Moriyama, Steve Stavro, Garth Drabinsky and Nat Taylor. It first aired on Sept. 3, 1979. Popularly known by the call letters CFMT (""Canada's First Multilingual Television""), its mandate is to produce and broadcast ethnic programming reflecting a diverse multicultural viewing public, to match third language programming with the needs of each ethnic group, and to entertain and inform members of the ethnic communities in Toronto. The major groups targeted are Italian, Chinese and Portuguese, although the station broadcasts in a total of fifteen different languages. In 1986 Rogers Communications became the major shareholder of CFMT. It became known as ""OMNI1"" in 2002 after Rogers introduced Omni Television, its multilingual programming brand.",CFMT,,,,,,,,,,,Fonds C 257.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporate Name,,,,,,,,,,,,,,Rules for Archival Description,Review,Y
5625,,CHIN Radio/TV International,,,,"CHIN is composed of television facilities and radio stations. CHIN Radio/Television International was incorporated in 1964. The organization was established in 1965, by Johnny Lombardi, and began broadcasting in 1966. Lombardi explained the meaning of CHIN: ""C is for Canada, H for happiness, I and N for international. CHIN is the first multicultural / multilingual station to be established in Ontario. In 1967, CHIN obtained an FM radio license and inherited with that two radio stations, AM 1540 and FM 100.7, as well as a television program on CITY-TV hosted by Johnny Lombardi. In 1967, the first CHIN Picnic was held and has become one of Toronto's most popular annual multicultural events. When Lombardi died in 2002, ownership of CHIN Radio/TV International passed to his son Lenny and daughters Theresa and Donina. CHIN Ottawa CJLL 97.9FM began broadcasting to the Ottawa / Gatineau region in October of 2003, and is the first third language radio service in Ottawa.",Radio 1540 Limited,,,,,,,,,,,Fonds C 258. http://www.chinradio.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporate Name,,,,,,,,,,,,,,Rules for Archival Description,Approved,Y
5626,,Canada Packers,,,,"The company was formed out of a succession of mergers with predecessor companies. These include the William Davies Company, Ltd. (est. 1854), the Canadian Packing Company, Ltd. (est. 1868 as the George Matthews Company), Gunns Ltd. (est. 1876), and the Harris Abattoir Company, Ltd. (est. 1896). These firms merged in 1927 to form Canada Packers, Ltd., which became Canada Packers Inc. in 1980. In 1990 Canada Packers Inc. merged with British based Maple Leaf Mills, Ltd. to form Maple Leaf Foods, Inc.",,,,,,,,,,,,"Fonds C 262, and user created finding aid available in collection file.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporate Name,,,,,,,,,,,,,,Rules for Archival Description,Approved,Y
5655,,Canadian Pacific Railway Company,,,,"The company was incorporated in 1881 and has also had interests in settlement, tourism and communications.",,,,,,,,,,,,Canadian Subject Headings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporate Name,,,,,,,,,,,,,,Rules for Archival Description,Approved,Y
4,AA108,Ontario. Minister Responsible for Native Affairs,,1985,"The Minister Responsible for Native Affairs develops policy in the area of native affairs on behalf of the Government of Ontario. In particular, the Minister coordinates special projects across ministries; negotiates native issues such as aboriginal constitutional matters and self- government agreements; researches, negotiates and settles native land claims in conjunction with the federal government; and monitors development and delivery of line Ministry programs affecting native people.","The position of Minister Responsible for Native Affairs was first appointed in June  1985, and assumed duties that had been with the Provincial Secretariat for Resources Development since 1981. The Provincial Secretariat had a ""Native Affairs Policy"" section, which was transferred to the jurisdiction of the Minister Responsible for Native Affairs. When the Ontario Native Affairs Directorate  (known later as a Secretariat) was formed in 1987, it reported to the Legislature through the Minister Responsible for Native Affairs and replaced the ""Native Affairs Policy"" section. The position of Minister Responsible for Native Affairs has been held by Ian G. Scott (1985-1990, also the Attorney General); C. J. Wildman (1990-1995, also the Minister of Natural Resources) and Charles A. Harnick (1995 - , also the Attorney General).",,,,,,,,,,,,"Bell, George G. and Andrew D. Pascoe. The Ontario Government: Structure and Functions. Toronto:  Wall & Thompson, 1988. KWIC Index to Services:  1991-1992. Toronto:  Ministry of  Government Services, 1991. Ontario Government Telephone Directories, 1985-1998.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Minister Responsible for Native Affairs,No authorizing agent can be identified for this agency.,,,,,,,,,,,Rules for Archival Description,,Y
853,AA59,Ontario. Dept. of Agriculture,,,"The Department of Agriculture provided services in production methods, farm management, marketing, and other phases of agriculture, with a view to improving the quality and quantity of agricultural products, and to promoting the prosperity and welfare of the farming community. The Department was also responsible for operating various educational and research institutions in the field of agriculture.","The Department of Agriculture was established by statute on March 23, 1888, assuming the functions of the former Department of the Commissioner of Agriculture and Arts. At this time, the title of the head of the Department was also changed from the Commissioner of Agriculture and Arts to the Minister of Agriculture. Early offices attached to the Department between 1888 and the First World War, included: the Office of the Registrar General until 1891; the Clerk of Forestry until 1895; the Inspector of Factories until 1915; the Inspector of Mines until 1891; and the Provincial Inspector in Road-making until 1900. After the First World War, a number of branches and agencies began to be established within the Department as government policy increased with respect to the regulation and promotion of particular areas of agricultural activity. These branches and agencies included: the Agricultural Development Board; the Agricultural Representative Branch; the Co-operation and Markets Branch; the Dairy Branch; the Farm Economics Branch; the Farm Products Marketing Board; the Field Crops Branch; the Fruit Branch; the Live Stock Branch; and the Milk Control Board of Ontario. The Department of Agriculture continued to exist until 1966, when it was renamed the Department of Agriculture and Food.",,,,,,,,,,,,"Bishop, Olga. Publications of the Government of Ontario, 1867-1900 (1976). MacTaggart, Hazel I. Publications of the Government of Ontario, 1901-1955 (1964). Canadiana Name Authorities, 1996-12-24",Ontario. Dept. of Agriculture and Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Agriculture,"Act respecting the Department of Agriculture and other Industries, Statutes of Ontario 1888, Chap. 8",,,,,Ontario. Dept. of the Commissioner of Agriculture and Arts,,,,,,Rules for Archival Description,,Y
987,AA60,Ontario. Dept. of Agriculture and Food,,,"The Department of Agriculture and Food was responsible for promoting and regulating the agricultural activities of the province. The Department also acted to promote the prosperity and welfare of the farming community, and for developing, improving and marketing the agricultural and food industries of Ontario.","The Department of Agriculture was renamed the Department of Agriculture and Food in 1966. The Department consisted of a number of branches which were organised into four major divisions in 1969. These divisions were the Finance and Administration Division, the Production and Rural Development Division, the Marketing and Special Services Division, and the Agricultural Education and Research Division. Agencies which reported to the Department included: the Crop Insurance Commission; the Agricultural Research Institute of Ontario; the Milk Commission of Ontario, the Ontario Telephone Service Commission; the Ontario Food Council; the Horticultural Research Institute and the Horticultural Products Laboratory; and the Colleges of Agricultural Technology at Kemptville, New Liskeard and Ridgetown. With the reorganisation of the government in 1972, the Department of Agriculture and Food was renamed the Ministry of Agriculture and Food,",,,,,,,,,,,,"Directory and Guide to Services of the Ontario Government, 1966-1967. Canadiana Name Authorities, 1996-12-24",Ontario. Ministry of Agriculture and Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Agriculture and Food,"Act to Amend the Department of Agriculture Act, Statutes of Ontario 1966, Chap. 30",,,,,Ontario. Dept. of Agriculture,,,,,,Rules for Archival Description,,Y
2295,AA77,Ontario. Dept. of Colleges and Universities,,,"The Department of Colleges and Universities was responsible for the expansion, development and financing of the universities and colleges of applied arts and technology (along with Ryserson Polytechnical Institute) in Ontario. Activities of the Department included receiving proposals for new capital projects from the colleges and universities; working with university officials in studying their financial requirements and establishing the amount of financial assistance to be provided by the provincial government; conducting research on trends and issues having implications on higher education; and administering various award programmes for students.","The Department of University Affairs was renamed the Department of Colleges and Universities in October 1971, after the acquisition of the Applied Arts and Technology Branch from the Department of Education. A separate Minister of Colleges and Universities was also appointed at this time. In addition to the Applied Arts and Technology Branch, the Department consisted of the Administrative Services Branch, the Capital Support Branch, the Operating Support Branch, the Information Branch, the Personnel Branch, the Planning and Research Branch, the Statistics Branch, and the Student Awards Branch. Agencies which reported to the Department included the Committee on University Affairs, the Commission on Post-Secondary Education in Ontario, and the Council for Regents for Colleges of Applied Arts and Technology. In 1972, the Department of Colleges and Universities was renamed the Ministry of Colleges and Universities.",,,,,,,,,,,,"Canadiana Name Authorities, 1996-12- 24. Government of Ontario Telephone Directory, 1971",Ontario. Ministry of Colleges and Universities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Colleges and Universities,,,,,,,Ontario. Dept. of University Affairs,,,,,Rules for Archival Description,Approved,Y
2309,AA111,Ontario. Ministry of Economic Development and Trade (1999-2002),,,The Ministry of Economic Development and Trade supports the economic growth of Ontario.,"The Ministry of Economic Development and Trade was created on June 17, 1999 by the Premier of Ontario. It was succeeded by the Ministry of Enterprise, Opportunity and Innovation in 2002.",,,,,,,,,,,,"Press Release, Office of the Premier of Ontario, June 17, 1999","Ontario. Ministry of Enterprise, Opportunity and Innovation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Ministry of Economic Development and Trade (1999-2002),,,,,,,"Ontario. Ministry of Economic Development, Trade and Tourism",,,,,Rules for Archival Description,Approved,Y
2327,AA15,Ontario. Dept. of Commerce and Development,1961,,"The Department of Commerce and Development supported the growth of productive, stable employment by expanding domestic and international trade, encouraging investment opportunities, and assisting small business development. The Department was also responsible for functions relating to emergency measures, housing, conservation of wildlife, and development of the St. Lawrence Seaway.","The Department of Commerce and Development was created on January 27, 1961 from the former Department of Planning and Development. The Minister of Commerce and Development was William N. Nickle. On December 15, 1961 this Department was merged with the Department of Economics and Federal and Provincial Relations to form the Department of Economics and Development.",,,,,,,,,,,,"Government of Ontario Telephone Directories, 1961. Directory and Guide to Ontario Government Services, 1961. Canadiana Name Authorities, 1995-03-15",Ontario. Dept. of Economics and Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Commerce and Development,,,,,,,Ontario. Dept. of Planning and Development,,,,,Rules for Archival Description,Approved,Y
