SISN,REFD,LEVELDES,TITLE,DATECR,DATEACM,PHDESC,REFD_HIGHER,SCOPE,RESTRTX,TGU,ISA,CUSTOD,ASSMAT,RELMAT,AVAIL,PHYSCO,NOTES,ACCRUAL,FCODES,STATUSD,WEBD,DATESUBJ,DATEDSRC_BEGINNING,DATEDSRC_END,SCALE,GMD_1,GMD_2,GMD_3,GMD_4,GMD_5,GMD_6,GMD_7,GMD_8,ADMBIO,INDEXGEO_1,INDEXGEO_2,INDEXGEO_3,INDEXGEO_4,INDEXGEO_5,INDEXGEO_6,INDEXGEO_7,INDEXGEO_8,INDEXGEO_9,INDEXGEO_10,INDEXGEO_11,INDEXGEO_12,INDEXGEO_13,INDEXGEO_14,INDEXGEO_15,INDEXGEO_16,INDEXGEO_17,INDEXGEO_18,INDEXGEO_19,INDEXGEO_20,INDEXGEO_21,MODDATE,INDEXPROV,INDEXNAME,INDEXSUB,HOWTO,FINDAID:FINDAIDLINK:FINDAID_URL,IIL:IIL_URL,DATEOFF:OFFICEAB:AB_REFA:OFFICEC:C_REFA
1,C 2,Fonds,Bartle Brothers fonds,[ca. 1895] - [ca. 1910],,1880 photographs : glass plate negatives,,"Fonds consists of 1,880 glass plate negatives taken ca. 1895 to ca. 1910 by Simon Peter Bartle and his brother, Herman Arthur Bartle, known professionally as Bartle Brothers.  Fonds comprised largely of group and individual portraits of residents of various Glengarry and Stormont County communities including: Fassifern, Grantley, Lancaster, Martintown, North Lancaster, St. Andrews, and Williamstown. Portraits include indoor studio images, as well as outdoor images.  Portrait subjects consist of adults, children, families, dogs, school groups, people in costume, and several images of people with bicycles as the Bartle Brothers also operated a bicycle repair shop.  Fonds also includes photographs of: farming activities; local businesses such as cheese factories, general stores, dry goods stores, hotels, and blacksmiths; dwellings; train stations and railroad construction; churches; vehicles; post-mortem images; and recreation.",Some items are closed for conservation reasons.,"Records are in the public domain. There are no restrictions on reproduction for research and private study. If you wish to use other than for research and private study any of this material, submit a Request for Permission to Publish, Exhibit or Broadcast Form.",,The glass plate negatives in this fonds were recovered from the Bartle farm in Osnabruck and acquired by the Archives of Ontario in 1974 from John Brownell.,,,Some of the photographs from this fonds are available in digital format in the Archives of Ontario Visual Database. Search using reference code C 2.,,"Title based on contents of the fonds.  The biographical information was obtained from Herman Bartle's daughters, Minnie R. Bartle and Rhoda Bartle.",,Accession Number: 10232,Reviewed,Y,,1895,1910,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/05/2003,Bartle Brothers (firm),,,Consult the online list to identify the records that you require. Order using reference code and barcode number.Material is stored onsite.,An item listing is available for this fonds. : : :,: :,: : : : :
2,C 1,Fonds,Thomas Burrowes fonds,1826-1861,,114 watercolours,,"Fonds consists of 114 watercolours, created between 1826 and 1861, by Captain Thomas Burrowes during his employment as Overseer of Works and later Clerk of Works of the southern section of the Rideau Canal.  Several watercolours of Kingston Mills and Adolphustown were painted following his retirement in 1846.  The watercolours depict the construction of and activities along the Rideau waterway and Kingston Mills.",No access to original material.  Reference slides or digital images available for consultation.,Records are in the public domain. Permission of the Archives of Ontario is required for publication.,,"These sketchbooks were found in Detroit Michigan, 1907, in Thomas Burrowes daughter's attic.  The Archives of Ontario acquired them in 1948 from Burrowes grandson, A.D.H. Ross.","Other works by Burrowes may be found at Library and Archives Canada and in the Sigmund Collection of Canadiana, Royal Ontario Museum.",,Copy negatives are available for the watercolours.  The records in this fonds are available in digital format in the Archives of Ontario Visual Database. Search using reference code C 1.,,Title based on contents of the fonds.,,Accession Number: 2546,Approved,Y,,1826,1861,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2003,"Burrowes, Thomas, 1796-1866",,,"Consult the online listing to narrow your search, then order by reference code and container number.",An online listing of the records in this fonds is available. : : :,: :,: : : : :
3,C 3,Fonds,Gilbert A. Milne fonds,[ca. 1930]-1962,,"948 photographs : negatives, positives and prints",,"Fonds consist of 923 negatives, positives and prints, by Toronto photographer, Gilbert A. Milne, documenting the city's post-war urban expansion as well as its arts, academic and broadcasting communities.  Subjects include the University of Toronto, the Canadian Broadcasting Corporation as well as Toronto's subway construction, housing, street scenes, industry, and shipping.  Also photographed are public figures of the period including: Dr. Best, Morley Callaghan, J.M.S. Careless, Jack Kent Cooke, Robertson Davies, George Drew, Gracie Fields, Leslie Frost, Foster Hewitt, Peggy Lee, Guy Lombardo, William Lyon Mackenzie King, Vincent Massey, Lester B. Pearson, Michael Redgrave, Barbara Ann Scott, Gordon Sinclair, Lister Sinclair, E.P. Taylor, and Roy Thomson.  Also included in the fonds are 25 black and white prints from Milne Studios. The photos show the interior, exterior and owner of Holwood, the palatial Toronto home of Sir Joseph Flavelle, local successful businessman.",No restrictions on access.,"Copyright has expired for photographs created in 1948 or earlier. Copyright for photographs created in 1949 or later resides with the Estate of Gilbert Milne. Please contact the Estate of Gilbert Milne for permission to publish, exhibit or broadcast post-1948 images.","The majority of the fonds was acquired by the Archives of Ontario in 1971 from Gilbert A. Milne.; The Archives of Ontario purchased the Milne Studios photographs of Holwood (Series C 3-3) from the Stephen Bulger Gallery, Toronto in 2006.",,Gilbert Milne photographs can also be found at the City of Toronto Archives and the Library and Archives Canada.,,Some of the photographs from this fonds are available in digital format in the Archives of Ontario Visual Database. Search using reference code C 3.,,,,Accession #: 9508 and 50674,Approved,Y,,1925,1962,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/29/2003,"Milne, Gilbert A., 1914-1991",,,Please see series descriptions.,Online item listings are available for all series in this fonds. Please see series descriptions for further details. : : :,: :,: : : : :
4,C 4,Fonds,George S. Mitchell collection,"1910, 1944",,"54 photographs : black and white, negatives and prints",,"Collection consists of photographs either taken or collected by George S. Mitchell including 33 glass plate negatives and approximately 21 prints depicting Cobourg, Ontario store interiors ca. March 1910.  The collection also includes 3 images of damage caused by an earthquake in Cornwall in 1944.",The glass plate negatives have been closed for conservation reasons.,Copyright restrictions for these materials has expired. Permission of the Archives of Ontario is required for publication.,"The George S. Mitchell collection was donated to the Archives of Ontario in three accessions, two in 1958 from George S. Mitchell, and in 1983 from Mr. C.G. King of Cobourg, Ontario.",,,,"The glass plate negatives are closed for conservation reasons, however copy prints of these images are available.  To view a copy print, request box B-1279 (barcode B410679). All the images in this collection are available in digital format in the Archives of Ontario Visual Database. Search using reference code C 4.",,Title based on immediate source of acquisition.,No further accruals are expected.,"Accession numbers: 2108, 2122, 15954.",Approved,Y,,1910,1944,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/06/2003,"Mitchell, George S.",,,Consult the online listing to narrow your search and order by reference code and container number.,An online listing is available for this collection. : : :,: :,: : : : :
5,C 5,Fonds,Gordon W. Powley fonds,1940-1962,,1935 photographs : black and white nitrate and acetate negatives,,"Fonds consists of photographs taken by Gordon W. Powley, a professional photographer based in Toronto. These photographs illustrate the following subjects: industrial development, arts and sporting events, recreational activities and leisure activities, election campaigns, labour disputes, urban growth, resource exploitation in northern Ontario and the domestic war effort during World War II.  Also included are numerous formal portraits of prominent public figures of the period such as: Mr. and Mrs. Clement Atlee; Gene Autrey and Gail Davis; Ernesto Barbini; Jack Benny; Dennis Braithwaite; Olivia de Havilland; Paul Hellyer; Buster Keaton; Stanley Knowles; Allan Lamport; Joe Louis; the Duke and Duchess of Northumberland; Nathan Phillips; the Princess Royal; John Robarts and Gordon Sinclair; and Roy Rogers.  Fonds has been described in two series.",Selected items have been closed for conservation reasons. There are no access restrictions on the remainder of the fonds.,See series descriptions for terms governing use.,"The fonds was acquired by the Archives of Ontario in September 1970 from Gordon Powley's wife, Eleanor Powley.",,,,Some of the photographs in this fonds are available in digital format in the Archives of Ontario Visual Database. Please see series descriptions.,,Title based on contents of the fonds.,,Accession Number: 6863,Approved,Y,,1940,1962,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/30/2003,"Powley, Gordon W.",,,Please consult the series descriptions to narrow your search.,See series and sub-series descriptions for information on finding aids. : : :,: :,: : : : :
6,C 6,Fonds,Edwin Poole fonds,[1891?] - [1892?],,"62 photographs : black and white, prints and negatives + 2 printed tickets",,"Fonds consists of glass plate negatives and original prints taken by Edwin Poole in 1891 , documenting the plays of a St. Catharines amateur theatre group. Photographic subjects are scenes from the plays, ""Only a Farmer's Daughter"" and ""Distrust"". Fonds is arranged in two series, one for each play.",Glass plate negatives are closed for conservation reasons. There are no restrictions on the remainder of the fonds.,"Records are in the public domain. There are no restrictions on reproduction; however permission of the Archives of Ontario is required for publication. Submit a Request for Permission to Publish, Exhibit or Broadcast form.",The fonds was acquired by the Archives of Ontario in 1967 from Mrs. P.C. Band.,,"The St. Catharines Historical Museum has a collection of mounted prints and newspaper clippings concerning the presentation of these plays. In addition, the St. Catharines Public Library has a presentation album of play photographs.",,"Digital images are available for the items in this fonds in the Archives of Ontario Visual Database. Search using reference code, C 6.",,Title based on the contents of the fonds.  Fonds was formerly known as the St. Catherines Amateur Theatre Collection.,,Accession Number: 4892.,Approved,Y,,1891,1892,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/13/2003,"Poole, Edwin",,,Please consult the series descriptions for information on how to view these records.,See the series descriptions for information on finding aids. : : :,: :,: : : : :
7,C 7,Fonds,John Boyd fonds,[1886]-1937,,4380 photographs,,"Fonds consists of photographs taken or acquired by John Boyd. The fonds contains images of Boyd's family; nature landscapes and subjects; and hunting trips to Parry Sound, Haliburton, and Algoma Districts.  With his transfer to Sarnia in 1899, he began photographing railway equipment; Great Lakes sailing vessels; vacations to Lake Huron and Georgian Bay; and fishing trips to Muskoka District.  After his return to Toronto, Boyd photographed the scenery and activities near his home at High Park and Lambton, his automobile travels around central Ontario, and vacations in the Muskoka Lakes region. The fonds also contains a wide variety of images from Niagara Falls, Thunder Bay, Montreal, Quebec City, the Gasp� Region, and the New England seaboard.  This fonds has been arranged into six series.",No restrictions on access.,"Copyright has expired. To publish, submit a Request to Publish, Exhibit or Broadcast form.","Fonds was acquired by the Archives of Ontario in several accruals from Boyd's daughter, Edna A Boyd.",,"Boyd images are held by several institutions.  Library and Archives Canada in Ottawa holds the negatives to most of the Boyd's photographs in the Archives of Ontario's custody.  The City of Toronto Archives holds several albums of photographs, including those taken between August 1914 and November 1917 of the training activities of Canadian Expeditionary Force soldiers.  Showing parade drilling, artillery exercises, signaling, trench digging, and camp life, most of the images were taken in Toronto, with others shot in Montreal, Barriefield and Kingston, Camp Borden, Niagara, London, and Guelph.",,Selected photographs from this fonds have been digitized and can be viewed through the Archives of Ontario's Visual Database.,,"Most photographs bear John Boyd's stamp on the back and many are annotated with captions.  These captions have been preserved in listings as photograph titles.  Whenever given, the creator's code has been recorded in the appendices.  When studying an event or location depicted in this fonds, researchers should record the creator's code and examine the other series, especially Series C 7-3, for related images.  The creator's code will also prove useful when examining Boyd's negatives at the National Archives of Canada.",,Accession Number: 9912,Approved,Y,,1886,1937,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/20/2002,"Boyd, John, 1865-1941",,,Consult the series descriptions and accompanying lists to narrow your search.,Please see series descriptions. : : :,: :,: : : : :
8,C 9,Fonds,Fred Davis and Yvonne Leroux fonds,1924-1978,,33 centimetres of textual records; ca. 1525 photographs; 40 drawings,,"Fonds consists of materials created and received by Yvonne Leroux Davis and Fred Davis relating to their involvement with the Dionne quintuplets. The textual records consist of correspondence, diaries, financial and legal papers, medical records of the quintuplets, publicity materials including interview scripts and notes, and publications. Also included are drawings made by the Dionne quintuplets. The largest portion of the fonds consists of photographs of the quintuplets.",No restrictions on access.,Copyright transferred to Archives of Ontario by donor.  No restrictions on reproduction or publication of material for which the donor is authorised to transfer copyright to the Archives. Other material may require permission of third party copyright holders. Copyright on photographs has expired.  Consult a Reference Archivist for further information regarding reproduction and publication of photographs.,Fonds was acquired from the Yvonne Davis Estate on 30 March 1988.,,,"The Archives has a microfilm copy of the Dr. Allan Roy Dafoe Papers (F 1359), the originals of which are held by the North Bay Area Museum and Archives. Consult the appropriate inventory for access to these materials.",Microfilm copies of the textual records in this fonds have been made.,,Fonds formerly known as the Davis- Leroux Collection.,,Accession 21165.,Approved,Y,,1924,1978,,Textual records,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/30/2001,"Davis, Fred, 1896?-1963Leroux, Yvonne, 1912-1981",,,See the inventory for C 9 to narrow your search. Textual records and drawings are available on self service microfilm.,An inventory is available for this fonds. : : :,: :,: : : : :
9,C 12,Fonds,"Souter, Bell, Howard and Souter fonds",[186-?]-1965,[1889?]-1965,3065 architectural drawings; 1 album (52 photographs : black and white prints); 2 photographs : black and white prints; 1 volume of textual records; 1 item of textual records,,"Fonds consists of architectural drawings, photographs and a small amount of textual material created by the firm Souter, Bell, Howard and Souter, its predecessors, and other predecessor firms ultimately associated with the firm of Souter- Lenz-Taylor.  A number of drawings appearing in this collection were acquired over the years as reference drawings by the firm of Souter, Bell, Howard and Souter. Included among these were the drawings of the firms of McDonnell and Lenz, William Stewart and Son, Stewart and Witton [or W.P. Witton and Stewart], and Roy H. Bishop.  In addition to architectural drawings, the fonds also contains the drawings of various firms of engineers.  Types of buildings represented in the fonds include many commercial and industrial structures, such as office buildings, plants and factories, as well as hotels, banks and department stores. There are also private clubs, schools, orphanages, churches, residences, hospitals, band shells, arenas and YMCA facilities.  A few of the projects, largely located in Hamilton, are represented by photographs. Further details of these are provided in the relevant series descriptions. A textual item consisting of a combined job list and account book for the firms of Mills and Hutton, and Hutton and Souter make up the final series.",There are no restrictions on access.,"Copyright for much of the fonds has expired. Copyright for other portions of the fonds rests with the creator. To find out more about the copyright status of the particular material you wish to use, consult a Reference Archivist. No restrictions on reproduction or publication of material for which the donor is authorized to transfer the copyright to the Archives.  Other material may require permission of third party copyright holders.","Fonds was acquired by the Archives of Ontario in three accessions: one instalment arrived in 1980, and two in 1994.",,,"Additional material relating to the architects R.E. McDonnell and Charles Lenz, is held by the Archives of Ontario: R.E. McDonnell collection, C 16 and Charles Lenz fonds, F 1404.",,,Title based on content of fonds.,No further accruals are expacted.,"Accessions 13723, 29290, 29796.",Approved,Y,,1860,1965,,Textual records,Graphic materials,Architectural and technical drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Souter, Bell, Howard and Souter (firm)",,,Consult the series descriptions for more information on how to access materials.,Consult series descriptions for the availability of finding aids. : : :,: :,: : : : :
10,C 13,Fonds,Douglas Kertland fonds,[192-?]-[196-?],,ca. 900 architectural drawings; 22.5 metres of textual records (includes architectural drawings),,"Fonds consists of the records of Toronto architect, Douglas Kertland. Fonds includes ca. 800 architectural drawings of his various projects in Toronto.  In addition, fonds contains Kertland's business correspondence arranged according to client or building.",No restrictions on access.,Copyright held by creator.  These materials cannot be published without permission of the copyright holder.,Fonds was acquired by the Archives of Ontario in 1976 from Douglas Kertland.,,,,,,Title based on contents of the fonds.,,Accession Number: 11221,Approved,Y,,1920,1969,,Textual records,Graphic materials,Architectural and technical drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Kertland, Douglas, 1886-1982",,,Please consult Inventory for C 13 in order to narrow down search.,An inventory is available for this fonds. : : :,: :,: : : : :
11,C 15,Fonds,Harry B. Kohl fonds,[ca.1953] - 1972,,ca. 800 architectural drawings; ca. 50 photographs; 90 metres of textual records (includes architectural drawings),,"Fonds consists of the architectural drawings and photographs of Toronto architect, Harry B. Kohl.  Projects represented are predominantly Kohl's various residential and commercial buildings around Toronto.",No restrictions on access.,Copyright held by creator.  These materials cannot be published without permission of the copyright holder.,Fonds was acquired by the Archives of Ontario in 1980 from the Ontario Association of Architects.,,,,,,Title based on contents of the fonds.,,Accession Number: 13920,Approved,Y,,1953,1972,,Graphic materials,Architectural and technical drawings,Textual records,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/15/2003,"Kohl, Harry B., 1923-1973",,,Please consult Inventory for C 15 to narrow your search.,An inventory is available for this fonds. : : :,: :,: : : : :
12,C 16,Fonds,R.E. McDonnell fonds,1909-1954,,ca. 2700 architectural drawings; 114 photographs; 12 centimetres of textual records,,"Fonds consists of the records of Hamilton architect, R.E. McDonnell. Fonds includes approximately 2700 architectural drawings and 114 photographs from McDonell's various projects.  Projects documented include: the Ranchman's Club; the Norton Palmer Hotel; the Refectory Building; the approach from the Queen Elizabeth Way to the Peace Bridge at Fort Erie and various private residences.  Fonds also contains textual records such as letters of recommendation from various architects and engineers in addition to correspondence concerning the Queenston Heights Refectory.",No restrictions on access,Copyright held by creator.  These materials cannot be published without permission of the copyright holder.,"Fonds was acquired by the Archives of Ontario in 1980 and 1982 from R.E. McDonnell's wife, Doris McDonnell.",,,,,,Title based on contents of the fonds.,,"Accession Numbers: 13834, 14948 and 15213",Approved,Y,,1909,1954,,Textual records,Graphic materials,Architectural and technical drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"McDonnell, R.E., 1887-1963",,,Please consult Inventory for C 16 to narrow your search.,An inventory is available for this fonds. : : :,: :,: : : : :
13,C 17,Fonds,Earle C. Morgan fonds,1934-1969,,2.1 metres of textual records; ca. 500 architectural drawings; ca. 50 photographs,,"Fonds consists of architectural records of Earle C. Morgan.  Fonds includes 73 sets of architectural drawings and photographs from Morgan's various projects.  Principal projects represented in this fonds are: E.P. Taylor's country home, Fort Erie Racetrack, Old Woodbine Racetrack, New Woodbine Racetrack, Wrentham Estates (York Mills Shopping Centre), National Stud Farm Facilities, Mohawk Raceway, Garden City Raceway, Greenwood Stables, Blue Bonnets Raceway, and Lyford Cay Development.  In addition, fonds contains Earle C. Morgan architectural firm's textual records.  These include project lists, cashbooks, ledgers, receipts and correspondence.  There are also newspaper clippings relating to architectural design and arranged alphabetically into subject files.",No restrictions on access.,Copyright held by creator.  These materials cannot be published without permission of the copyright holder.,Fonds was acquired by the Archives of Ontario in 1982 from Mrs. Earle C. Morgan.,,,,,,Title based on contents of the fonds.,,Accession Number: 15411,Approved,Y,,1934,1969,,Textual records,Graphic materials,Architectural and technical drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/10/2001,"Morgan, Earle C., 1903-1972",,,Please consult Inventory for C 17 in order to narrow down your search.,An inventory is available for this fonds. : : :,: :,: : : : :
14,C 18,Fonds,Alfred H. Chapman fonds,"[1880?]-1959, 1976-[1978?]",,ca. 2783 architectural drawings; 1.66 metres of textual records; 1 volume of textual records; 78 photographs : black and white prints; 5 photographs : colour slides; 1 album of graphic materials,,"Fonds comprises records of Alfred Chapman, a Toronto-based architect between 1906 and 1943.  Fonds consists primarily of architectural drawings associated with projects undertaken by Chapman's architectural firms: Chapman and McGiffin; Chapman and Oxley; Chapman, Oxley, and Bishop; and Chapman, Oxley and Facey. Included are specifications, correspondence, and other materials, including photographs and prints. Projects include residences, office buildings, religious houses, and public buildings, including educational institutions and recreational structures.  Fonds also contains materials related to the architectural projects. These include such as reviews of Chapman's buildings in architectural publications, and also general reference for ornamentation, decoration, and design, in the form of portfolios and loose plates, prints, and tearsheets.  The records have been augmented with materials of a biographical or genealogical nature, some collected by Chapman's son Howard D. Chapman.  Fonds has been arranged into four series according to functional differences in the records.",No restrictions on access,Please refer to individual series descriptions.,"Howard D. Chapman, son of Alfred Chapman, donated the fonds to the Archives of Ontario in 1983, 1995, 2005 and 2008.",,,"For drawings of Chapman & Oxley pertaining to the Ontario Government Building in the Douglas E Kertland fonds, consult C 13.  For drawings of Chapman & Oxley in the McMurrich and Oxley fonds, consult C 23.  For drawings of Chapman & Oxley pertaining to the Hospitals for Consumptives at Gravenhurst and Weston in the Arthur Heeney fonds, consult C 27.  For drawings of Chapman, McGiffin & Scott pertaining to the Royal Savings and Loan Building in Brantford, Ontario in the Wasteneys & Stern fonds, consult Sub-series F 2146-1-10.  For records of Chapman's participation in the Ontario Association of Architects, consult F 1403.  For drawings of Chapman & Oxley pertaining to Havergal College in the Rounthwaite, Dick & Hadley Architects fonds, consult C 14.",,,Title based on contents of the fonds.,Further accruals are expected.,"Accession numbers: 15465, 29866, 48506.",Review,Y,1878-1949,1877,1985,,Textual records,Graphic materials,Architectural and technical drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Chapman, Alfred H., 1878-1949",,,Consult the individual series descriptions for more information on how to access this material.,Please refer to individual series descriptions. : : :,: :,: : : : :
