SISN,IMAGE,REF_ADD,REF_FILE,REF_CREATOR,SCALE,CLASS,TITLE,DATECR,SCOPE,CREATOR,PHDESC,GMD,REST,CONT,AOCONT,NOTES,STATUS,WEBL,OPENDATE,BNOTE:BARCODE:BDISPLAY,,,,,,
1,,RG 5-4,1.01,,,,"Actinolite, Ontario",1962 - 1963,"Topics mentioned in this file include: Mary and Romy Schneider School of Fine Arts, Arts Schools.",,1 file of textual records,Textual records,,"This file is located in RG 5, Box 1.",,,,Y,," :""B353970"":""Y"":",,,,,,
2,,RG 5-4,1.02,,,,Ads Declined,1963,,,1 file of textual records,Textual records,,"This file is located in RG 5, Box 1.",,,,Y,," :""B353970"":""Y"":",,,,,,
3,,RG 5-4,1.03,,,,Ads Placed [Part A],1963,,,1 file of textual records,Textual records,,"This file is located in RG 5, Box 1.",,,,Y,," :""B353970"":""Y"":",,,,,,
4,,RG 5-4,1.04,,,,Ads Placed [Part B],1960 - 1963,,,1 file of textual records,Textual records,,"This file is located in RG 5, Box 1.",,,,Y,," :""B353970"":""Y"":",,,,,,
5,,RG 5-4,1.05,,,,Ads Placed [Part C],1962 - 1963,"Topics mentioned in this file include: Toronto International Square Dance Competition, 1962.",,1 file of textual records,Textual records,,"This file is located in RG 5, Box 1.",,,,Y,," :""B353970"":""Y"":",,,,,,
6,,RG 5-4,1.06,,,,Ads Placed [Part D],1963,,,1 file of textual records,Textual records,,"This file is located in RG 5, Box 1.",,,,Y,," :""B353970"":""Y"":",,,,,,
7,,RG 5-4,1.07,,,,Ads Placed [Part E],1963,,,1 file of textual records,Textual records,,"This file is located in RG 5, Box 1.",,,,Y,," :""B353970"":""Y"":",,,,,,
8,,RG 5-4,1.08,,,,Ads Placed [Part F],1963,Topics mentioned in this file include: Lake Superior International Highway Association.,,1 file of textual records,Textual records,,"This file is located in RG 5, Box 1.",,,,Y,," :""B353970"":""Y"":",,,,,,
9,,RG 5-4,1.09,,,,Albany Club - Progressive Conservatives,1963,,,1 file of textual records,Textual records,,"This file is located in RG 5, Box 1.",,,,Y,," :""B353970"":""Y"":",,,,,,
10,,RG 5-4,1.1,,,,Algonquin Park,1957,,,1 file of textual records,Textual records,,"This file is located in RG 5, Box 1.",,,,Y,," :""B353970"":""Y"":",,,,,,
11,,RG 5-4,1.11,,,,"Allchin, Mrs. E.V. - Holiday House, Bracebridge, Ontario",1957 - 1962,,,1 file of textual records,Textual records,,"This file is located in RG 5, Box 1.",,,,Y,," :""B353970"":""Y"":",,,,,,
12,,RG 5-4,1.12,,,,"Allenwood, Ontario",1948,Topics mentioned in this file include: Highway Signs - Complaints.,,1 file of textual records,Textual records,,"This file is located in RG 5, Box 1.",,,,Y,," :""B353970"":""Y"":",,,,,,
