SISN,IMAGE,REF_ADD,REF_FILE,REF_CREATOR,SCALE,CLASS,TITLE,DATECR,SCOPE,CREATOR,PHDESC,GMD,REST,CONT,AOCONT,NOTES,STATUS,WEBL,OPENDATE,BNOTE:BARCODE:BDISPLAY,,
1020561,,F 1405-23-62,,,,,Sylvia Schwartz photographs - Index Cards,n.d.,,,1 file of textual records,Textual records,,B-248,,,,Y,," :""B115703"":""Y"":",,
1020562,,F 1405-23-62,,,,,Sylvia Schwartz photographs - Prints,1949-1958,,,314 photographs : black and white prints,Graphic materials,,B-248,,,,Y,," :""B115703"":""Y"":",,
1020563,,F 1405-23-62,,,,,Sylvia Schwartz photographs - Negatives #2 - #248,1949-1958,,,65 photographs : black and white negatives,Graphic materials,,A-395,,,,Y,," :""B115702"":""Y"":",,
1020564,,F 1405-23-62,,,,,Sylvia Schwartz photographs - Negatives #259 - #312,1949-1958,,,20 photographs : black and white negatives,Graphic materials,,A-396,,,,Y,," :""B115704"":""Y"":",,
1020565,,F 1405-23-62,,,,,"Sylvia Schwartz photographs - 5"" x 7"" negatives",1949-1958,,,19 photographs : black and white negatives,Graphic materials,,A-400,,,,Y,," :""B115705"":""Y"":",,
1020566,,F 1405-23-81,,,,,Dworkin photographs - prints,1910-1970,,,"81 photographs : 5 black and white prints, 31 black and white contact prints, 45 black and white photomechanical reproductions",Graphic materials,,B-246,,,,Y,," :""B115707"":""Y"":",,
1020567,,F 1405-23-81,,,,,Dworkin photographs - oversize prints,1910-1970,,,2 photographs : black and white prints,Graphic materials,,D-414,,,,Y,," :""B378868"":""Y"":",,
1020568,,F 1405-23-81,,,,,Dworkin photographs - 35 mm negatives,1910-1970,,,31 photographs : black and white negatives,Graphic materials,,A-303,,,,Y,," :""B115698"":""Y"":",,
1020569,,F 1405-23-81,,,,,"Dworkin photographs - 4"" x 5"" negatives",1910-1970,,,1 photograph : black and white negative,Graphic materials,,A-396,,,,Y,," :""B115704"":""Y"":",,
1020570,,F 1405-23-113,,,,,United Jewish People's Order photographs - prints,1915-1980,,,234 photographs : black and white prints,Graphic materials,,B-249,,,,Y,," :""B115710"":""Y"":",,
1020571,,F 1405-23-113,,,,,United Jewish People's Order photographs - oversize prints,1915-1980,,,23 photographs : black and white prints,Graphic materials,,D-1,,,,Y,," :""B115711"":""Y"":",,
1020572,,F 1405-23-113,,,,,United Jewish People's Order photographs - slide,n.d.,,,1 photograph : colour slide,Graphic materials,,E-101,,,,Y,," :""D011343"":""Y"":",,
1020573,,F 1405-23-113,,,,,United Jewish People's Order photographs - negatives,1915-1980,,,8 photographs : black and white negatives,Graphic materials,,A-303,,,,Y,," :""B115698"":""Y"":",,
1026396,,RG 1-429-7,,,"1:15,840",,417823,1955,Flight Line : 4137 ; Roll : 55-0056 ; Photo(s) : 193-201,,8 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1955, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618. ; Area 11",,Y,," :""B863215"":""Y"":",,
1026397,,RG 1-429-7,,,"1:15,840",,417823,1955,Flight Line : 4138 ; Roll : 55-0056 ; Photo(s) : 202-204,,3 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1955, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618. ; Area 11",,Y,," :""B863215"":""Y"":",,
1026398,,RG 1-429-7,,,"1:15,840",,417823,1955,Flight Line : 4139 ; Roll : 55-0056 ; Photo(s) : 205-208,,4 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 416823 and 417823 for the year 1955, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00015, barcode B821618. ; Area 11",,Y,," :""B863215"":""Y"":",,
