SISN,IMAGE,REF_ADD,REF_FILE,REF_CREATOR,SCALE,CLASS,TITLE,DATECR,SCOPE,CREATOR,PHDESC,GMD,REST,CONT,AOCONT,NOTES,STATUS,WEBL,OPENDATE,BNOTE:BARCODE:BDISPLAY,,
2057342,,RG 45-67,,O/3-5-10,,,Salary Schedules,1990-1998,,,1 file of textual records,textual records,,,,,,Y,2048," :""B842102"":""Y"":",,
1724741,,F 883-2-3,,,,,Hanna Newcombe files - general,1972-1973,"File consists of records pertaining to:  Cross-Cleavage in International Politics by A. J. Miller; records concerning the Canadian Political Science Association; Discontinuities in the Symbolic Environment: A Problem in Scaling Events by Edward E. Azar and Thomas N. Havener; Film Prospectus The Journey or The Geneva Semester on the United Nations System ""The student's place in the world of tomorrow - today""; 1973 Report of the Center for Conflict Resolution; and Peaces and Futures A Symposium on Peace Research. ; Also included are:  University of Illinois campus map; records concerning  the Consortium on Peace Research, Education and Development; Reaction to Superstar A Preliminary Survey; Public Law 87-297, 87th Congress - Arms Control and Disarmament Act; A Historical Inventory of Peace Research by Clinton F. Fink; and Toward a Critical History of Peace Education by Clinton F. Fink.",,1 file of textual records,Textual records,,178,,Originally housed in Box 62.,,Y,," :""B208639"":""Y"":",,
1723990,,F 2162,,,,Written responses - Integrating Research Paper (October 1997),Rebuilding Ontario's Health System: Interim Planning Guidelines and Implementation Strategies a Discussion Paper - a Submission by the Social Services and Senior Citizens Department of the Regional Municipality of Niagara (LTC72),1997,,,1 file of textual records,Textual records,,87,,,,Y,," :""B309499"":""Y"":",,
2066773,,RG 58-9-2,,,,,"Queens University annual public policy forum, April 24, 1998",1998,,,1 file of textual records,textual records,,,,,,Y,2017," :""B819448"":""Y"":",,
1775160,,F 4655-1,F 4655-1-0-3993,77-5113,,,Golden Griddle - opening,"Feb. 27, 1977",,,"59 photographs : 35 colour negatives, 24 black and white negatives, ",Graphic materials,,197,,,,Y,," :""B863212"":""Y"":",,
2039283,,RG 4-32,,65599,,MAG,"Ministry of the Attorney General - Re: Residential Tenancies Act, 1979, and Residential Tenancy Commission 1979",1979-1984,,,3 Files of Textual of Records,textual records,,,,,,Y,2084," :""B833499"":""Y"":",,
2055932,,RG 45-36,,,,,London - strategic planning - The Environmental Management Resource Centre for Business Incorporated - agreement,1994-1995,,,1 file of textual records,textual records,,,,,,Y,2045," :""B815250"":""Y"":",,
2005567,,RG 29-171,,,,,Funding policy - General MET (Ministry of Education and Training),1995,,,1 file of textual records,textual records,,,,,,Y,2015," :""B835669"":""Y"":",,
2098412,,,,H/R/77/159,,,"Dal Bello, Camille, Lot 11, Concession 7, Town of Milton",1977,,,1 file of textual records,,,1993-01572/77-4,,,,Y,," :""B704371"":""Y"":",,
2057228,,RG 45-67,,,,,Shanghai,1997,,,1 file of textual records,textual records,,,,,,Y,2047," :""B842108"":""Y"":",,
