SISN,IMAGE,REF_ADD,REF_FILE,REF_CREATOR,SCALE,CLASS,TITLE,DATECR,SCOPE,CREATOR,PHDESC,GMD,REST,CONT,AOCONT,NOTES,STATUS,WEBL,OPENDATE,BNOTE:BARCODE:BDISPLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200000,,RG 4-154,,CR053708,,,Standards of Conduct for all Ministry of Community and Social Services employees,1989,,,257.84 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Manual/Policy ; 4,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200001,,RG 4-154,,CR053712,,,Standards of Conduct & Disciplinary Guidelines,"November, 1983",,,144.84 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Manual/Policy ; 2,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200002,,RG 4-154,,CR053714,,,Disciplinary Guidelines & Standards,"November, 1981",,,93.87 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Manual/Policy ; 2,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200003,,RG 4-154,,CR053749,,,Approved CI (update) Huronia Regional Centre - Aug. 10/01 Court of Appeal decision re: GSB decision to reinstate employee,16-Aug-01,,,14.32 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Memo ; 1,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200004,,RG 4-154,,CR053772,,,CI Update - March 20 - GSB orders reinstatement of former Ministry employee - appeal date set,22-Mar-01,,,18.07 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Memo ; 1,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200005,,RG 4-154,,CR053887,,,Contentious Issue Report,12-May-95,,,50.13 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Report ; 2,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200006,,RG 4-154,,CR053890,,,Contentious Issue Report,12-May-95,,,52.47 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Report ; 2,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200007,,RG 4-154,,CR053893,,,Contentious Issue Report,05-May-95,,,48.35 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Report ; 2,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200008,,RG 4-154,,CR053895,,,Contentious Issue Report,05-May-95,,,56 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Report ; 2,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200009,,RG 4-154,,CR053899,,,Contentious Issue Report,07-Apr-95,,,51.75 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Report ; 2,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200010,,RG 4-154,,CR053901,,,Contentious Issue Report,17-Nov-93,,,35.51 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Report ; 1,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200011,,RG 4-154,,CR053903,,,Contentious Issue Report,07-Apr-95,,,48.78 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Report ; 2,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200012,,RG 4-154,,CR053979,,,Contentious Issue,20-Feb-89,,,105.38 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Report ; 1,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200013,,RG 4-154,,CR053980,,,Contentious Issue,17-Feb-89,,,39.34 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Report ; 1,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200014,,RG 4-154,,CR053981,,,Contentious Issue,25-Jan-89,,,115.69 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Report ; 2,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200015,,RG 4-154,,CR053983,,,Contentious Issue,24-Jan-89,,,33.54 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Report ; 1,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200016,,RG 4-154,,CR053984,,,Contentious Issue,23-Jan-89,,,38.95 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Report ; 1,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200017,,RG 4-154,,CR053985,,,Contentious Issue - Investigation of Abuse,29-Jan-89,,,64.4 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,report ; 1,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200019,,RG 4-154,,CR054040,,,Allegations of Physical Abuse - Huronia Regional Centre,24-Feb-89,,,19.06 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Memo ; 1,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
